#time in s	Single 1(/s)	
13.9	7640	
14	7440	
14.1	8020	
14.2	7070	
14.3	7470	
14.4	7530	
14.5	6820	
14.6	6950	
14.7	7250	
14.8	7440	
14.9	6960	
15	6690	
15.1	7220	
15.2	7080	
15.3	7120	
15.4	7730	
15.5	6930	
15.6	7060	
15.7	7990	
15.8	6960	
15.9	7530	
16	7060	
16.1	7130	
16.2	6990	
16.3	6870	
16.4	7210	
16.5	7160	
16.6	7970	
16.7	7360	
16.8	7340	
16.9	7440	
17	7360	
17.1	7480	
17.2	7290	
17.3	7250	
17.4	7350	
17.5	7500	
17.6	6970	
17.7	7260	
17.8	7230	
17.9	7390	
18	6900	
18.1	6990	
18.2	7050	
18.3	6800	
18.4	7120	
18.5	7570	
18.6	7430	
18.7	7070	
18.8	7140	
18.9	7060	
19	7260	
19.1	6700	
19.2	7320	
19.3	7000	
19.4	7540	
19.5	7040	
19.6	7640	
19.7	7370	
19.8	6980	
19.9	7150	
20	7150	
20.1	6890	
20.2	6690	
20.3	7390	
20.4	7030	
20.5	7200	
20.6	6920	
20.7	7120	
20.8	6810	
20.9	7060	
21	7220	
21.1	6880	
21.2	6800	
21.3	7380	
21.4	7010	
21.5	6980	
21.6	7060	
21.7	7420	
21.8	7320	
21.9	7150	
22	6690	
22.1	7660	
22.2	7330	
22.3	7760	
22.4	7500	
22.5	6960	
22.6	7000	
22.7	7370	
22.8	7080	
22.9	7680	
23	7790	
23.1	7250	
23.2	7520	
23.3	7470	
23.4	7610	
23.5	7180	
23.6	7270	
23.7	7290	
23.8	7330	
